player_id,full_name,first_year,last_year,positions_played,height_in_inches,weight_in_pounds,birth_date,colleges_played_for
aldamsa01,Santi Aldama,2022,2025,F,83,224.0,01/10/2001,Loyola (MD)
aldemfu01,Furkan Aldemir,2015,2015,F-C,82,240.0,08/09/1991,
aldrico01,Cole Aldrich,2011,2018,C,83,250.0,10/31/1988,Kansas
aldrila01,LaMarcus Aldridge,2007,2022,F-C,83,250.0,07/19/1985,Texas
aleksch01,Chuck Aleksinas,1985,1985,C,83,260.0,02/26/1959,Kentucky UConn
alexacl01,Cliff Alexander,2016,2016,F,80,245.0,11/16/1995,Kansas
alexaco01,Cory Alexander,1996,2005,G,73,185.0,06/22/1973,Virginia
alexaco02,Courtney Alexander,2001,2003,G,77,205.0,04/27/1977,Virginia Fresno State
alexaga01,Gary Alexander,1994,1994,F,79,240.0,11/01/1969,South Florida
alexajo01,Joe Alexander,2009,2010,F,80,230.0,12/26/1986,West Virginia
alexaky01,Kyle Alexander,2020,2020,F,83,220.0,10/21/1996,Tennessee
alexatr01,Trey Alexander,2025,2025,G,76,185.0,05/02/2003,Creighton
alexaty01,Ty-Shon Alexander,2021,2021,G,75,195.0,07/16/1998,Creighton
alexavi01,Victor Alexander,1992,2002,C-F,81,265.0,08/31/1969,Iowa State
alexani01,Nickeil Alexander-Walker,2020,2025,G,77,205.0,09/02/1998,Virginia Tech
alforst01,Steve Alford,1988,1991,G,74,183.0,11/23/1964,Indiana
alkinra01,Rawle Alkins,2019,2019,G,77,225.0,10/29/1997,Arizona
allenbi01,Bill Allen,1968,1968,C-F,80,205.0,,New Mexico State
allenbo01,Bob Allen,1969,1969,F,81,205.0,07/17/1946,Marshall
allengr01,Grayson Allen,2019,2025,G,76,198.0,10/08/1995,Duke
allenja01,Jarrett Allen,2018,2025,C-F,83,243.0,04/21/1998,Texas
allenje01,Jerome Allen,1996,1997,G,76,184.0,01/28/1973,Penn
allenka01,Kadeem Allen,2018,2020,G,73,200.0,01/15/1993,Arizona
allenla01,Lavoy Allen,2012,2017,F-C,81,260.0,02/04/1989,Temple
allenlu01,Lucius Allen,1970,1979,G,74,175.0,09/26/1947,UCLA
allenma01,Malik Allen,2002,2011,F-C,82,255.0,06/27/1978,Villanova
allenra01,Randy Allen,1989,1990,F,80,220.0,01/26/1965,Florida State
allenra02,Ray Allen,1997,2014,G,77,205.0,07/20/1975,UConn
allenti01,Timmy Allen,2024,2024,F,78,210.0,01/09/2000,Utah Texas
allento01,Tony Allen,2005,2018,G-F,76,213.0,01/11/1982,Butler County Community College Oklahoma State
allenwi01,Willie Allen,1972,1972,F,78,230.0,02/08/1949,Miami (FL)
allisod01,Odis Allison,1972,1972,F,78,195.0,10/02/1949,UNLV
allrela01,Lance Allred,2008,2008,C,83,250.0,02/02/1981,Utah Weber State
allumda01,Darrell Allums,1981,1981,F,81,220.0,09/12/1958,UCLA
almonmo01,Morris Almond,2008,2012,G,78,225.0,02/02/1985,Rice University
alstode01,Derrick Alston,1995,1997,F,83,225.0,08/20/1972,Duquesne
alstora01,Rafer Alston,2000,2010,G,74,171.0,07/24/1976,Fresno State
alumape01,Peter Aluma,1999,1999,C,82,260.0,04/23/1973,Liberty
alvarjo01,Jose Alvarado,2022,2025,G,72,179.0,04/12/1998,Georgia Tech
amaecjo01,John Amaechi,1996,2003,C-F,82,270.0,11/26/1970,Vanderbilt Penn State
amayaas01,Ashraf Amaya,1996,1997,F,80,230.0,11/23/1971,Southern Illinois
aminual01,Al-Farouq Aminu,2011,2021,F,80,220.0,09/21/1990,Wake Forest
amundlo01,Lou Amundson,2007,2016,F-C,81,220.0,12/07/1982,UNLV
anderbo01,Bob Anderegg,1960,1960,F-G,75,200.0,08/24/1937,Michigan State
anderch01,Chris Andersen,2002,2017,C-F,82,245.0,07/07/1978,Blinn College
anderda03,David Andersen,2010,2011,C,83,245.0,06/23/1980,
anderal01,Alan Anderson,2006,2017,G-F,78,220.0,10/16/1982,Michigan State
anderan01,Andy Anderson,1968,1970,G,74,184.0,07/06/1945,Canisius
anderan02,Antonio Anderson,2010,2010,G,78,215.0,06/05/1985,Memphis
andercl01,Cliff Anderson,1968,1971,G-F,74,200.0,09/07/1944,Saint Joseph's
anderda01,Dan Anderson,1968,1969,C,82,230.0,02/15/1943,Augsburg College
anderda02,Dan Anderson,1975,1976,G,74,185.0,01/01/1951,USC
anderde01,Derek Anderson,1998,2008,G,77,194.0,07/18/1974,Ohio State Kentucky
anderdw01,Dwight Anderson,1983,1983,G,75,185.0,12/28/1960,Kentucky USC
anderer01,Eric Anderson,1993,1994,F,81,220.0,05/26/1970,Indiana
andergr01,Greg Anderson,1988,1998,F-C,82,230.0,06/22/1964,Houston
anderjj01,JJ Anderson,1983,1985,F,80,195.0,09/23/1960,Bradley
anderja01,James Anderson,2011,2016,G-F,78,213.0,03/25/1989,Oklahoma State
anderje01,Jerome Anderson,1976,1977,G,77,195.0,10/09/1953,West Virginia
anderju01,Justin Anderson,2016,2022,G,78,230.0,11/19/1993,Virginia
anderke01,Kenny Anderson,1992,2005,G,73,168.0,10/09/1970,Georgia Tech
anderki01,Kim Anderson,1979,1979,F,79,200.0,05/12/1955,Missouri
anderky01,Kyle Anderson,2015,2025,F-G,81,230.0,09/20/1993,UCLA
andermi01,Michael Anderson,1989,1989,G,71,184.0,03/23/1966,Drexel
anderni01,Nick Anderson,1990,2002,F-G,78,205.0,01/20/1968,Illinois
anderri01,Richard Anderson,1983,1990,F-C,82,240.0,11/19/1960,UC Santa Barbara
anderro01,Ron Anderson,1985,1994,F-G,79,215.0,10/15/1958,Fresno State
anderry01,Ryan Anderson,2009,2020,F,81,240.0,05/06/1988,California
andersh01,Shandon Anderson,1997,2006,F-G,78,208.0,12/31/1973,Georgia
anderwi01,Willie Anderson,1989,1997,G-F,79,190.0,01/08/1967,Georgia
anderwa01,Wally Anderzunas,1970,1970,C-F,79,220.0,01/11/1946,Creighton
andrima01,Martynas Andriuškevičius,2006,2006,C,86,240.0,03/12/1986,
anieldo01,Don Anielak,1955,1955,F,79,190.0,11/01/1930,Missouri State
anigbik01,Ike Anigbogu,2018,2019,F-C,82,250.0,10/17/1998,UCLA
anslemi01,Michael Ansley,1990,1992,F,79,225.0,02/08/1967,Alabama
anstech01,Chris Anstey,1998,2000,C,84,249.0,01/01/1975,
antetgi01,Giannis Antetokounmpo,2014,2025,F-G,83,242.0,12/06/1994,
antetko01,Kostas Antetokounmpo,2019,2021,F,82,200.0,11/20/1997,Dayton
antetth01,Thanasis Antetokounmpo,2016,2024,F,79,219.0,07/18/1992,
anthoca01,Carmelo Anthony,2004,2022,F,79,238.0,05/29/1984,Syracuse
anthoco01,Cole Anthony,2021,2025,G,74,185.0,05/15/2000,UNC
anthogr01,Greg Anthony,1992,2002,G,72,176.0,11/15/1967,University of Portland UNLV
anthojo01,Joel Anthony,2008,2017,C,81,245.0,08/09/1982,UNLV
anticpe01,Pero Antić,2014,2015,C-F,83,260.0,07/29/1982,
anunoog01,OG Anunoby,2018,2025,F,79,232.0,07/17/1997,Indiana
applike01,Keith Appling,2016,2016,G,73,185.0,02/13/1992,Michigan State
araujra01,Rafael Araújo,2005,2007,C,83,280.0,08/12/1980,BYU
arcenst01,Stacey Arceneaux,1962,1962,F,76,210.0,02/17/1936,Iowa State
archiro01,Robert Archibald,2003,2004,F,83,250.0,03/29/1980,Illinois
architi01,Tiny Archibald,1971,1984,G,73,150.0,09/02/1948,Arizona Western College Texas-El Paso
arcidry01,Ryan Arcidiacono,2018,2024,G,75,195.0,03/26/1994,Villanova
ardji01,Jim Ard,1971,1978,F-C,80,215.0,09/19/1948,Cincinnati
arenagi01,Gilbert Arenas,2002,2012,G,76,191.0,01/06/1982,Arizona
arizatr01,Trevor Ariza,2005,2022,F,80,215.0,06/30/1985,UCLA
arizipa01,Paul Arizin,1951,1962,F-G,76,190.0,04/09/1928,Villanova
arlaujo01,Joe Arlauckas,1988,1988,F,81,230.0,07/20/1965,Niagara University
armstbj01,BJ Armstrong,1990,2000,G,74,175.0,09/09/1967,Iowa
armstbo01,Bob Armstrong,1957,1957,C-F,80,220.0,06/17/1933,Michigan State
armstbr01,Brandon Armstrong,2002,2004,G,77,188.0,06/16/1980,Pepperdine
armstcu01,Curly Armstrong,1949,1951,G-F,71,170.0,11/01/1918,Indiana
armstda01,Darrell Armstrong,1995,2008,G,73,180.0,06/22/1968,Fayetteville State University
armsthi01,Hilton Armstrong,2007,2014,F-C,83,235.0,11/11/1984,UConn
armstta01,Tate Armstrong,1978,1979,G,75,175.0,10/05/1955,Duke
arnelje01,Jesse Arnelle,1956,1956,F,77,220.0,12/30/1933,Penn State
arnetja01,Jay Arnette,1964,1966,G,74,175.0,12/19/1938,Texas
arnzebo01,Bob Arnzen,1970,1974,F,77,205.0,11/03/1947,Notre Dame
arroyca01,Carlos Arroyo,2002,2011,G,74,202.0,07/30/1979,Florida International University
arthuda01,Darrell Arthur,2009,2018,F,81,235.0,03/25/1988,Kansas
arthujo01,John Arthurs,1970,1970,G,76,185.0,08/15/1947,Tulane
artisja01,Jamel Artis,2018,2018,G-F,79,213.0,01/12/1993,Pitt
asikom01,Ömer Aşık,2011,2018,C,84,255.0,07/04/1986,
askewvi01,Vincent Askew,1988,1998,G-F,78,210.0,02/28/1966,Memphis
askinke01,Keith Askins,1991,1999,G-F,79,197.0,12/15/1967,Alabama
asmondo01,Don Asmonga,1954,1954,G,74,185.0,02/15/1928,Alliance College
athadi01,Dick Atha,1956,1958,G,74,190.0,09/21/1931,Indiana State University
atkinch01,Chucky Atkins,2000,2010,G,71,160.0,08/14/1974,South Florida
attleal01,Al Attles,1961,1971,G,72,175.0,11/07/1936,North Carolina A&T
aubucch01,Chet Aubuchon,1947,1947,G,70,137.0,05/18/1916,Michigan State
augmost01,Stacey Augmon,1992,2006,F-G,80,205.0,08/01/1968,UNLV
augusdj01,DJ Augustin,2009,2022,G,71,183.0,11/10/1987,Texas
augusja01,James Augustine,2007,2008,F,82,235.0,02/27/1984,Illinois
austiis01,Isaac Austin,1992,2002,C,82,255.0,08/18/1969,Arizona State
austijo01,Johnny Austin,1967,1968,G,72,170.0,08/31/1944,Boston College
austike01,Ken Austin,1984,1984,F,81,205.0,07/15/1961,Rice University
avdijde01,Deni Avdija,2021,2025,G-F,81,210.0,01/03/2001,
aventan01,Anthony Avent,1993,2000,F,81,235.0,10/18/1969,Seton Hall
averibi01,Bird Averitt,1974,1978,G,73,170.0,07/22/1952,Pepperdine
averywi01,William Avery,2000,2002,G,74,197.0,08/08/1979,Duke
awtrede01,Dennis Awtrey,1971,1982,C,82,235.0,02/22/1948,Santa Clara
ayayijo01,Joel Ayayi,2022,2022,G,77,180.0,03/05/2000,Gonzaga
ayongu01,Gustavo Ayón,2012,2014,C,82,250.0,04/01/1985,
pendeje02,Jeff Ayres,2010,2016,F,81,240.0,04/29/1987,Arizona State
aytonde01,Deandre Ayton,2019,2025,C,84,250.0,07/23/1998,Arizona
azubuke01,Kelenna Azubuike,2007,2012,G,77,220.0,12/16/1983,Kentucky
azubuud01,Udoka Azubuike,2021,2024,C,82,280.0,09/17/1999,Kansas
babbch01,Chris Babb,2014,2014,G,77,225.0,02/14/1990,Penn State Iowa State
babbilu01,Luke Babbitt,2011,2018,F,81,225.0,06/20/1989,Nevada
babicmi01,Miloš Babić,1991,1992,C-F,84,240.0,11/23/1968,Tennessee Technological University
bachjo01,Johnny Bach,1949,1949,F-G,74,180.0,07/10/1924,Fordham
bacondw01,Dwayne Bacon,2018,2021,G,78,221.0,08/30/1995,Florida State
baconhe01,Henry Bacon,1973,1973,G,75,205.0,07/05/1948,Louisville
badjiib01,Ibou Badji,2024,2024,C,85,240.0,10/13/2002,
baechji01,Jim Baechtold,1953,1957,F-G,76,205.0,12/09/1927,Eastern Kentucky University
bagarda01,Dalibor Bagarić,2001,2003,C,85,255.0,02/07/1980,
baglejo01,John Bagley,1983,1994,G,72,185.0,04/23/1960,Boston College
baglema02,Marcus Bagley,2025,2025,F,80,215.0,10/23/2001,Arizona State
baglema01,Marvin Bagley III,2019,2025,F-C,82,235.0,03/14/1999,Duke
baileam01,Amari Bailey,2024,2024,G,77,185.0,02/17/2004,UCLA
baileca01,Carl Bailey,1982,1982,C,84,210.0,04/23/1958,Tuskegee University
bailegu01,Gus Bailey,1975,1980,G-F,77,185.0,02/18/1951,Texas-El Paso
baileja01,James Bailey,1980,1988,F-C,81,220.0,05/21/1957,Rutgers University
baileth01,Thurl Bailey,1984,1999,F-C,83,215.0,04/07/1961,NC State
baileto01,Toby Bailey,1999,2000,G,78,213.0,11/19/1975,UCLA
bairsca01,Cameron Bairstow,2015,2016,F-C,81,250.0,12/07/1990,New Mexico
bakerji01,Jimmie Baker,1976,1976,F,81,220.0,12/25/1953,UNLV Hawaii
bakerla01,Mark Baker,1999,1999,G,73,175.0,11/11/1969,Ohio State
bakerma01,Maurice Baker,2005,2005,G,73,175.0,07/28/1979,Oklahoma State
bakerno01,Norm Baker,1947,1947,G,72,180.0,02/17/1923,
bakerro01,Ron Baker,2017,2019,G,76,220.0,03/30/1993,Wichita State
bakervi01,Vin Baker,1994,2006,F-C,83,232.0,11/23/1971,University of Hartford
baldwpa01,Patrick Baldwin Jr,2023,2025,G-F,81,220.0,11/18/2002,UW-Milwaukee
baldwwa01,Wade Baldwin,2017,2019,G,76,200.0,03/29/1996,Vanderbilt
balkmre01,Renaldo Balkman,2007,2012,F,80,208.0,07/14/1984,South Carolina
ballce01,Cedric Ball,1991,1991,F,80,210.0,04/16/1968,UNC Charlotte
ballla01,LaMelo Ball,2021,2025,G,79,180.0,08/22/2001,
balllo01,Lonzo Ball,2018,2025,G,78,190.0,10/27/1997,UCLA
ballagr01,Greg Ballard,1978,1989,F,79,215.0,01/29/1955,Oregon
baltihe01,Herschel Baltimore,1947,1947,F,76,195.0,06/21/1921,Penn State
bambamo01,Mo Bamba,2019,2025,C,84,231.0,05/12/1998,Texas
banchpa01,Paolo Banchero,2023,2025,F,82,250.0,11/12/2002,Duke
banede01,Desmond Bane,2021,2025,G,77,215.0,06/25/1998,TCU
banksge01,Gene Banks,1982,1987,F-G,79,215.0,05/15/1959,Duke
banksma01,Marcus Banks,2004,2011,G,74,200.0,11/19/1981,Dixie State (UT) UNLV
bankswa01,Walker Banks,1971,1971,C,82,205.0,08/26/1947,Western Kentucky
bannike01,Ken Bannister,1985,1991,F-C,81,235.0,04/01/1960,Indiana State University Saint Augustine's College
bantomi01,Mike Bantom,1974,1982,F-C,81,200.0,12/03/1951,Saint Joseph's
bantoda01,Dalano Banton,2022,2025,G-F,81,204.0,11/07/1999,Nebraska
barbeca01,Cat Barber,2022,2022,G,74,190.0,07/25/1994,NC State
barbejo01,John Barber,1957,1957,F,78,210.0,06/27/1927,California State University Los Angeles
barbole01,Leandro Barbosa,2004,2017,G,75,194.0,11/28/1982,
bardost01,Steve Bardo,1992,1996,G,77,190.0,04/05/1968,Illinois
bareajo01,JJ Barea,2007,2020,G,70,180.0,06/26/1984,Northeastern University
bargnan01,Andrea Bargnani,2007,2016,F-C,84,245.0,10/26/1985,
barkecl01,Cliff Barker,1950,1952,G,74,185.0,01/15/1921,Kentucky
barketo01,Tom Barker,1977,1979,C-F,83,225.0,03/11/1955,Minnesota College of Southern Idaho Hawaii
barklch01,Charles Barkley,1985,2000,F,78,252.0,02/20/1963,Auburn
barkler01,Erick Barkley,2001,2002,G,73,177.0,02/21/1978,St. John's
barksdo01,Don Barksdale,1952,1955,F-C,78,200.0,03/31/1923,UCLA
barlodo01,Dominick Barlow,2023,2025,F,81,221.0,05/26/2003,
barneha02,Harrison Barnes,2013,2025,F,80,225.0,05/30/1992,UNC
barneha01,Harry Barnes,1969,1969,F,75,205.0,07/25/1945,Northeastern University
barneji01,Jim Barnes,1965,1971,C-F,80,210.0,04/13/1941,Texas-El Paso
barnema01,Marvin Barnes,1975,1980,F-C,81,225.0,07/27/1952,Providence
barnema02,Matt Barnes,2004,2017,F,79,226.0,03/09/1980,UCLA
barnesc01,Scottie Barnes,2022,2025,G-F,79,227.0,08/01/2001,Florida State
barnedi01,Dick Barnett,1960,1974,G-F,76,190.0,10/02/1936,Tennessee State
barneji02,Jim Barnett,1967,1977,G-F,76,170.0,07/07/1944,Oregon
barnena01,Nate Barnett,1976,1976,G,75,175.0,01/29/1953,University of Akron
barnhjo01,John Barnhill,1963,1972,G,73,180.0,03/20/1938,Tennessee State
barnhno01,Norton Barnhill,1977,1977,G,76,205.0,07/15/1953,Washington State
barnhle01,Leo Barnhorst,1950,1954,F-G,76,190.0,05/11/1924,Notre Dame
barrjo01,John Barr,1947,1947,F,75,205.0,08/18/1918,Penn State
barrmi01,Mike Barr,1973,1977,G,75,180.0,10/19/1950,Duquesne
barrmo01,Moe Barr,1971,1971,G,76,195.0,06/19/1944,Duquesne
barrean01,Andre Barrett,2005,2008,G,70,172.0,02/21/1982,Seton Hall
barreer01,Ernie Barrett,1954,1956,G-F,75,180.0,08/27/1929,Kansas State
barremi01,Mike Barrett,1970,1973,G,74,155.0,09/05/1943,West Virginia Tech
barrerj01,RJ Barrett,2020,2025,G-F,78,214.0,06/14/2000,Duke
barroea01,Earl Barron,2006,2015,C,84,250.0,08/14/1981,Memphis
barroda01,Dana Barros,1990,2004,G,71,163.0,04/13/1967,Boston College
barrybr01,Brent Barry,1996,2009,G,78,185.0,12/31/1971,Oregon State
barrydr01,Drew Barry,1998,2000,G,77,191.0,02/17/1973,Georgia Tech
barryjo01,Jon Barry,1993,2006,G,76,195.0,07/25/1969,University of the Pacific Georgia Tech
barryri01,Rick Barry,1966,1980,F,79,205.0,03/28/1944,Miami (FL)
barteed01,Ed Bartels,1950,1951,F,77,195.0,10/08/1925,NC State
bartovi01,Vic Bartolome,1972,1972,C,84,230.0,09/29/1948,Oregon State
bartowi01,Will Barton,2013,2023,G,77,181.0,01/06/1991,Memphis
basdeed01,Eddie Basden,2006,2006,G,77,215.0,02/15/1983,UNC Charlotte
baskeje01,Jerry Baskerville,1976,1976,F,79,190.0,11/10/1951,Temple
bassbr01,Brandon Bass,2006,2017,F,80,250.0,04/30/1985,LSU
basspa01,Paris Bass,2022,2022,F,80,200.0,08/29/1995,Detroit Mercy
basseti01,Tim Bassett,1974,1980,F-C,80,225.0,04/01/1951,College of Southern Idaho Georgia
bassech01,Charles Bassey,2022,2025,C,82,235.0,10/28/2000,Western Kentucky
bastoma01,Maceo Baston,2003,2009,F,81,215.0,05/29/1975,Michigan
bateeme01,Mengke Bateer,2002,2004,C,83,290.0,11/20/1975,
batesbi01,Billy Ray Bates,1980,1983,G,76,210.0,05/31/1956,Kentucky State University
batesem01,Emoni Bates,2024,2025,G,82,170.0,01/28/2004,Memphis Eastern Michigan
bateske01,Keita Bates-Diop,2019,2024,F,80,229.0,01/23/1996,Ohio State
batises01,Esteban Batista,2006,2007,F-C,82,270.0,09/02/1983,
batismi01,Mike Batiste,2003,2003,F,80,225.0,11/21/1977,Arizona State
battito01,Tony Battie,1998,2012,C-F,83,230.0,02/11/1976,Texas Tech
battish01,Shane Battier,2002,2014,F,80,220.0,09/09/1978,Duke
battlja01,Jamison Battle,2025,2025,F,79,220.0,05/10/2001,George Washington Minnesota Ohio State
battljo01,John Battle,1986,1995,G,74,175.0,11/09/1962,Rutgers University
battlke01,Kenny Battle,1990,1993,F,78,210.0,10/10/1964,Northern Illinois Illinois
battoda01,Dave Batton,1983,1984,C,82,240.0,03/26/1956,Notre Dame
battsll01,Lloyd Batts,1975,1975,G-F,76,185.0,05/09/1951,Cincinnati
batumni01,Nicolas Batum,2009,2025,F-G,80,230.0,12/14/1988,
baughda01,Damion Baugh,2025,2025,G,76,194.0,08/03/2000,Memphis TCU
baumjo01,Johnny Baum,1970,1974,F,77,200.0,06/17/1946,Peirce College Temple
baumhfr01,Frankie Baumholtz,1947,1947,G,70,170.0,10/07/1918,Ohio University
baxtelo01,Lonny Baxter,2003,2006,F,80,260.0,01/27/1979,Maryland
bayleje01,Jerryd Bayless,2009,2019,G,75,200.0,08/20/1988,Arizona
bayloel01,Elgin Baylor,1959,1972,F,77,225.0,09/16/1934,College of Idaho Seattle University
bayneho01,Howard Bayne,1968,1968,F,78,235.0,07/28/1942,Tennessee
baynear01,Aron Baynes,2013,2021,C,82,260.0,12/09/1986,Washington State
bazarse01,Sergei Bazarevich,1995,1995,G,74,168.0,03/16/1965,
bazemke01,Kent Bazemore,2013,2022,G-F,76,195.0,07/01/1989,Old Dominion
bazleda01,Darius Bazley,2020,2024,F,80,208.0,06/12/2000,
beached01,Ed Beach,1951,1951,F,75,200.0,01/25/1929,West Virginia
bealbr01,Bradley Beal,2013,2025,G,76,207.0,06/28/1993,Florida
beardal01,Al Beard,1968,1968,C,81,200.0,04/27/1942,Norfolk State
beardbu01,Butch Beard,1970,1979,G,75,185.0,05/04/1947,Louisville
beardra01,Ralph Beard,1950,1951,G,70,175.0,12/02/1927,Kentucky
beaslch01,Charlie Beasley,1968,1971,G-F,77,190.0,09/23/1945,SMU
beaslje01,Jerome Beasley,2004,2004,F,82,237.0,05/17/1980,Midland College University of North Dakota
beasljo01,John Beasley,1968,1974,F-C,81,225.0,02/05/1944,Texas A&M
beaslma01,Malik Beasley,2017,2025,G,76,187.0,11/26/1996,Florida State
beaslmi01,Michael Beasley,2009,2019,F,81,235.0,01/09/1989,Kansas State
beatyze01,Zelmo Beaty,1963,1975,C,81,225.0,10/25/1939,Prairie View A&M University
beaubro01,Rodrigue Beaubois,2010,2013,G,72,170.0,02/24/1988,
beaucma01,MarJon Beauchamp,2023,2025,G,78,199.0,10/12/2000,Yakima Valley Community College
beckby01,Byron Beck,1968,1977,C-F,81,225.0,01/25/1945,Columbia Basin College Denver
beckco01,Corey Beck,1996,1999,G,73,190.0,05/27/1971,South Plains College Arkansas
becker01,Ernie Beck,1954,1961,G-F,76,190.0,12/11/1931,Penn
beckear01,Art Becker,1968,1973,F,79,205.0,01/12/1942,Arizona State
beckemo01,Moe Becker,1947,1947,G-F,73,185.0,02/24/1917,Duquesne
bedelbo01,Bob Bedell,1968,1971,F,79,205.0,06/26/1944,Stanford
bedfowi01,William Bedford,1987,1993,C,84,225.0,12/14/1963,Memphis
beekmre01,Reece Beekman,2025,2025,G,73,190.0,10/08/2001,Virginia
beendha01,Hank Beenders,1947,1949,C-F,78,185.0,06/02/1916,Long Island University
behagro01,Ron Behagen,1974,1980,F-C,81,185.0,01/14/1951,Minnesota
behnkel01,Elmer Behnke,1952,1952,C,79,210.0,02/03/1929,Bradley
belinma01,Marco Belinelli,2008,2020,G-F,77,220.0,03/25/1986,
bellch01,Charlie Bell,2002,2011,G,75,200.0,03/12/1979,Michigan State
bellde01,Dennis Bell,1974,1976,F,77,185.0,06/02/1951,Drake University
belljo01,Jordan Bell,2018,2022,F,80,216.0,01/07/1995,Oregon
bellra01,Raja Bell,2001,2012,G,77,204.0,09/19/1976,Boston University Florida International University
belltr01,Troy Bell,2004,2004,G,73,180.0,11/10/1980,Boston College
bellwh01,Whitey Bell,1960,1961,G,72,180.0,09/13/1932,NC State
bellawa01,Walt Bellamy,1962,1975,C,83,225.0,07/24/1939,Indiana
bembrde01,DeAndre' Bembry,2017,2022,F,77,210.0,07/04/1994,Saint Joseph's
bemorir01,Irv Bemoras,1954,1957,F-G,75,185.0,11/18/1930,Illinois
benbole01,Leon Benbow,1975,1976,G,76,185.0,07/23/1950,Jacksonville University
bendedr01,Dragan Bender,2017,2020,F,84,225.0,11/17/1997,
bendejo01,Jonathan Bender,2000,2010,F,83,202.0,01/30/1981,
benimje01,Jerrelle Benimon,2015,2015,F,80,245.0,08/01/1991,Georgetown Towson University
benjabe01,Benoit Benjamin,1986,2000,C,84,250.0,11/22/1964,Creighton
benjaco01,Corey Benjamin,1999,2003,G,78,200.0,02/24/1978,Oregon State
bennean01,Anthony Bennett,2014,2017,F,80,245.0,03/14/1993,UNLV
benneel01,Elmer Bennett,1995,1997,G,72,170.0,02/13/1970,Notre Dame
